BookID,Title,Author,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,Book format,Language,GenreLink,Series,PublishYear,isbn,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
5,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré",2028235,706012,215277,29265,14292,58998,435,Mass Market Paperback,English,2402163,Harry Potter,1999,043965548X,Scholastic Paperbacks,http://images.amazon.com/images/P/043965548X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/043965548X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/043965548X.01.LZZZZZZZ.jpg
2,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré",1685420,668805,232468,41915,16344,45160,870,Paperback,English,2809203,Harry Potter,2003,0439358078,Scholastic Paperbacks,http://images.amazon.com/images/P/0439358078.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439358078.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439358078.01.LZZZZZZZ.jpg
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,168732,81509,32463,8707,4384,5443,815,Paperback,English,135328,The Hitchhiker's Guide to the Galaxy,1996,0345453743,Del Rey,http://images.amazon.com/images/P/0345453743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345453743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345453743.01.LZZZZZZZ.jpg
4,Harry Potter and the Chamber of Secrets,J.K. Rowling,1714974,791685,317647,55360,15765,56282,352,Hardcover,English,6231171,Harry Potter,1998,0439554896,Arthur A. Levine Books,http://images.amazon.com/images/P/0439554896.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439554896.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439554896.01.LZZZZZZZ.jpg
18,The Ultimate Hitchhiker's Guide,Douglas Adams,168734,81511,32464,8707,4384,5443,815,Hardcover,English,135328,The Hitchhiker's Guide to the Galaxy,1996,0517149257,Random House Value Publishing,http://images.amazon.com/images/P/0517149257.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0517149257.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0517149257.01.LZZZZZZZ.jpg
22,Bill Bryson's African Diary,Bill Bryson,1505,2569,3518,1023,258,605,55,Hardcover,English,1998364,,2002,0767915062,Broadway,http://images.amazon.com/images/P/0767915062.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767915062.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767915062.01.LZZZZZZZ.jpg
27,Neither Here nor There: Travels in Europe,Bill Bryson,19145,23681,15186,4178,1880,2974,254,Paperback,English,3164459,Bryson and Katz,1991,0380713802,Perennial,http://images.amazon.com/images/P/0380713802.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380713802.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380713802.01.LZZZZZZZ.jpg
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,11204,14836,8411,1965,664,2772,270,Paperback,English,2170063,,1990,0380715430,Perennial,http://images.amazon.com/images/P/0380715430.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380715430.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380715430.01.LZZZZZZZ.jpg
26,The Lost Continent: Travels in Small Town America,Bill Bryson,15526,20042,12887,3582,1659,2804,299,Paperback,English,1888943,,1989,0060920084,Perennial,http://images.amazon.com/images/P/0060920084.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060920084.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060920084.01.LZZZZZZZ.jpg
24,In a Sunburned Country,Bill Bryson,34087,38309,17359,3313,1323,5746,335,Paperback,English,2611786,,2000,0767903862,Broadway Books,http://images.amazon.com/images/P/0767903862.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767903862.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767903862.01.LZZZZZZZ.jpg
28,Notes from a Small Island,Bill Bryson,30292,38350,22604,5349,1893,4410,324,Paperback,English,940892,Notes from a Small Island,1995,0380727501,Perennial,http://images.amazon.com/images/P/0380727501.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380727501.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380727501.01.LZZZZZZZ.jpg
