,bookId,Genre,NumberOfPeople
0,2,other,0
1,4,other,0
2,5,other,0
3,13,other,0
4,18,fiction,2736
5,18,adventure,174
6,18,classics,921
7,18,comedy,2638
8,18,adult,132
9,18,fantasy,1106
11,18,literature,93
12,18,novel,240
13,18,science-fiction,8313
14,18,science,95
15,18,contemporary,41
16,18,young-adult,59
17,21,nature,111
18,21,adult,79
19,21,comedy,587
20,21,culture,82
21,21,essays,59
22,21,fiction,73
23,21,history,5364
24,21,non-fiction,12213
25,21,philosophy,191
26,21,school,225
27,21,science,6597
29,22,other,0
30,24,adult,47
31,24,adventure,118
32,24,essays,26
33,24,history,169
34,24,comedy,1143
35,24,culture,3014
36,24,nature,47
37,24,fiction,42
39,24,non-fiction,3632
40,24,biography,651
41,25,adult,30
42,25,adventure,18
43,25,biography,834
44,25,comedy,1051
45,25,contemporary,16
46,25,fiction,39
47,25,history,57
48,25,literature,17
49,25,non-fiction,2370
50,25,science,21
51,25,short-stories,39
53,25,culture,1381
54,25,essays,220
55,26,comedy,694
56,26,contemporary,15
57,26,biography,464
59,26,adventure,38
60,26,adult,18
61,26,culture,1827
62,26,fiction,32
63,26,history,40
64,26,non-fiction,1913
65,26,essays,43
66,27,history,38
67,27,culture,2287
68,27,essays,44
69,27,non-fiction,1978
70,27,contemporary,14
71,27,biography,484
72,27,adventure,42
73,27,comedy,727
74,27,adult,26
76,27,fiction,23
77,28,essays,74
78,28,fiction,61
79,28,biography,833
80,28,history,80
81,28,contemporary,34
82,28,culture,2799
83,28,adult,40
85,28,non-fiction,3595
86,28,adventure,36
87,28,comedy,1220
88,29,school,86
89,29,science,68
90,29,culture,88
91,29,history,801
92,29,non-fiction,3197
93,29,comedy,320
95,29,adult,31
96,29,essays,90
97,34,adventure,2033
98,34,novel,1197
99,34,children,267
100,34,science-fiction,4601
101,34,adult,1020
102,34,fantasy,45457
103,34,literature,680
104,34,young-adult,1100
105,34,classics,13245
106,34,fiction,10272
108,35,adventure,745
109,35,adult,266
110,35,children,260
111,35,classics,6259
112,35,fantasy,18541
113,35,literature,431
114,35,novel,603
115,35,science-fiction,2125
116,35,young-adult,512
117,35,fiction,5213
119,53,short-stories,6
120,53,school,23
121,53,non-fiction,131
122,53,young-adult,52
123,53,fiction,4
124,53,essays,6
126,53,children,46
127,53,nature,2
128,53,adventure,40
129,53,biography,104
130,53,history,4
131,66,history,42
132,66,mystery,3
133,66,novel,2
134,66,romance,17
135,66,fiction,15
136,66,adult,2
138,74,short-stories,5
139,74,science,5
140,74,history,8
141,74,culture,4
142,74,essays,27
143,74,fiction,3
144,74,literature,4
145,74,nature,5
146,74,non-fiction,64
148,77,school,3
149,77,science,125
150,77,politics,3
151,77,essays,40
152,77,literature,2
154,77,culture,6
155,77,fiction,3
156,77,non-fiction,299
157,77,nature,80
158,77,history,47
160,78,history,108
161,78,literature,2
162,78,nature,60
163,78,non-fiction,381
164,78,science,274
165,78,biography,3
166,78,culture,39
167,78,essays,16
168,78,fiction,3
169,79,essays,21
170,79,culture,140
171,79,politics,3
172,79,fiction,12
173,79,adventure,24
174,79,classics,3
176,79,science,38
177,79,biography,24
178,79,history,65
179,79,non-fiction,294
180,79,nature,73
181,79,literature,5
182,83,non-fiction,95
183,83,nature,19
184,83,biography,9
185,83,essays,3
186,83,culture,11
188,83,science,60
189,83,history,24
190,85,school,12
191,85,lgbt,2
192,85,classics,2
193,85,drama,49
194,85,contemporary,4
196,85,fiction,22
197,85,adult,1
198,85,literature,1
199,85,novel,1
201,86,school,3
202,86,drama,45
203,86,contemporary,2
204,86,comedy,5
205,86,classics,3
206,86,adult,4
207,86,fiction,15
208,93,classics,4950
209,93,family,55
210,93,young-adult,639
211,93,literature,84
212,93,novel,113
213,93,children,5189
214,93,adventure,51
215,93,fiction,1263
217,93,history,440
218,98,adult,12
219,98,non-fiction,554
221,98,self-help,73
222,98,school,73
223,98,family,31
224,98,children,33
226,103,science-fiction,5805
227,103,science,65
228,103,religion,45
229,103,literature,25
230,103,fiction,950
231,103,novel,98
232,103,fantasy,443
233,103,classics,160
234,103,adventure,25
235,103,philosophy,59
236,103,politics,25
237,105,science,40
238,105,science-fiction,4009
240,105,novel,56
241,105,adventure,34
242,105,classics,102
243,105,fantasy,295
244,105,fiction,653
245,105,politics,16
246,105,adult,16
247,105,religion,19
248,105,literature,20
249,106,adult,71
250,106,politics,39
251,106,religion,65
252,106,science,90
253,106,novel,188
254,106,literature,48
255,106,philosophy,32
256,106,fiction,1831
258,106,adventure,48
259,106,classics,370
260,106,fantasy,950
261,106,science-fiction,10272
262,109,other,0
263,117,religion,27
264,117,science,53
265,117,politics,13
266,117,adult,14
267,117,novel,66
268,117,literature,22
269,117,fiction,740
270,117,fantasy,351
271,117,classics,114
272,117,adventure,25
273,117,science-fiction,4519
275,117,philosophy,18
276,122,school,107
277,122,young-adult,240
278,122,non-fiction,21
279,122,novel,112
280,122,history,872
281,122,classics,216
282,122,adventure,24
283,122,adult,78
285,122,literature,86
286,122,contemporary,69
287,122,culture,25
288,122,drama,44
289,122,fiction,1559
290,151,other,0
291,152,other,0
