User-ID,bookId,Book-Rating
276747,6259,4
276798,45449,3
276808,12570,5
276822,24073,3
276872,19580,4
276875,8745,1
276904,30335,5
276925,3301,1
276925,453,3
276925,24213,1
276929,15881,1
276929,30026,1
276957,6422,3
276964,43673,5
276986,7531,5
277042,2373,1
277051,2896,1
277073,5128,1
277094,41424,5
277107,4813,4
277107,28231,5
277107,7603,5
277109,9592,3
277109,4692,3
277157,41711,4
277157,28563,1
277157,26187,4
277168,29456,1
277170,5575,1
277187,15974,1
277187,11604,1
277195,15015,1
277195,13141,1
277195,13146,1
277195,5203,5
277195,34858,1
277195,15019,1
277196,28522,1
277196,34628,1
277197,7515,4
277197,3711,4
277229,3985,4
277235,3711,5
277244,5176,1
277245,5191,1
277285,22583,5
277317,28597,5
277375,45449,1
277378,38296,1
277427,37339,1
277427,5220,1
277427,37435,1
277427,6854,1
277427,5213,1
277427,16720,1
277427,16059,1
277427,5297,5
277427,1845,5
277427,17202,1
277427,43673,1
277427,43666,1
277427,43933,1
277427,43930,5
277427,38695,1
277427,43545,5
277427,15157,5
277427,2122,4
277427,2873,3
277427,2965,1
277427,15746,1
277427,40189,5
277427,43980,1
277427,44255,3
277427,40020,1
277427,25489,1
277427,24813,1
277427,24816,5
277427,24814,1
277427,7061,1
277435,10222,4
277439,28570,1
277478,5176,1
277478,43673,1
277478,5348,1
277478,15496,1
277478,32432,1
277478,43352,1
277478,34897,1
277478,24441,1
277527,18133,4
277535,5191,5
277554,5190,2
277563,14748,1
277575,4408,3
277623,32703,2
277639,34708,1
277639,32432,4
277639,15746,1
277647,3388,4
277698,19672,4
277710,32424,5
277710,5094,1
277744,9282,3
277803,37435,4
277807,5176,3
277811,3562,1
277901,5168,4
277904,5207,4
277913,2864,2
277922,32439,5
277923,453,1
277923,4953,1
277923,31373,1
277928,40189,1
277928,44255,1
277928,22,5
277937,15806,4
277937,2872,4
277937,11346,3
277938,37304,1
277938,5168,5
277945,40328,3
277945,41951,4
277954,32433,1
277954,41231,1
277958,37435,5
277962,3417,1
277962,28695,1
277965,20862,1
277965,19688,1
277965,19683,1
277965,20868,1
277965,38210,1
277984,32443,1
277984,14839,5
277984,43544,5
277989,2743,3
278007,5191,3
278012,1424,1
278026,30264,5
278026,21718,4
278026,32443,1
278026,43996,4
278026,9553,4
278048,5190,3
278063,667,4
278079,1845,4
278106,5197,1
278111,10914,1
278119,32507,5
278131,15096,4
278137,5196,1
278137,3471,4
278137,32262,1
278137,43352,1
278144,5220,1
278144,19670,1
278144,5348,1
278144,5168,1
278144,998,1
278144,7958,1
278144,7966,1
278144,27525,1
278153,7510,1
278177,32424,1
278185,3476,2
278188,15595,1
278188,24875,1
278188,5191,1
278188,5171,1
278188,19687,1
278188,34301,2
278188,43325,1
278188,28562,1
278194,18646,3
278194,4953,1
278194,6862,1
278194,2873,4
278199,10718,1
278209,29446,4
278218,37819,4
278221,5220,1
278221,15746,5
278221,43335,4
278243,4953,4
278253,22898,5
278297,10915,5
278314,40189,1
278346,7515,1
278355,8964,5
278356,31316,5
278356,39970,1
278388,4599,4
278418,11670,1
278418,31351,1
278418,21823,1
278418,13161,1
278418,15578,1
278418,34921,1
278418,5197,1
278418,4953,1
278418,5187,1
278418,5720,1
278418,20867,1
278418,42933,4
278418,5196,1
278418,24198,1
278418,12933,1
278418,15497,1
278418,21845,1
278418,5168,1
278418,6286,1
278418,17944,1
278418,32446,1
278418,19163,1
278418,6556,1
278418,32432,1
278418,19437,1
278418,43332,1
278418,3509,1
278418,10979,1
278418,28735,1
278418,31204,1
278422,2654,5
278461,39399,5
278490,43348,1
278503,7061,1
278520,33667,4
278524,19430,1
278535,14785,5
278535,21494,1
278541,37435,5
278552,5203,4
278552,15048,2
278561,7510,4
278573,26474,1
278582,6854,1
278582,6422,1
278582,6858,1
278582,6424,4
278582,6425,4
278582,44906,1
278582,41126,1
278582,7061,5
278586,3471,3
278586,31366,4
278633,3476,4
278633,5171,1
278633,5197,1
278633,5158,4
278633,5168,1
278633,5204,1
278633,32262,1
278633,2743,1
278645,14249,4
278653,3471,3
278672,40189,4
278724,41219,4
278740,5575,4
278771,7968,1
278771,7967,1
278773,12555,5
278777,12615,3
278798,5213,4
278836,6425,4
278843,3476,5
278843,5191,1
278843,15819,1
278854,5158,4
9,5348,1
39,32426,4
39,43352,4
44,27523,1
77,17214,1
99,3388,1
114,7510,5
114,30373,4
135,11604,1
139,27001,1
165,7510,3
228,8646,4
243,37819,4
243,5191,5
243,5205,4
243,15859,5
243,5348,1
243,13138,1
243,13141,3
243,26187,1
244,37819,4
254,5220,1
254,34506,1
254,45046,1
254,39988,1
254,24783,1
254,37435,5
254,13506,1
254,14686,1
254,31332,1
254,32111,1
254,5942,1
254,5297,1
254,6689,1
254,15881,5
254,6572,1
254,9416,1
254,38695,1
254,106,1
254,5203,4
254,41219,1
254,25101,1
254,25099,1
254,25100,5
254,23754,1
254,4264,1
272,27309,1
383,37435,1
383,15101,5
383,25669,1
383,17781,1
384,24875,1
387,24213,5
388,5348,1
422,15806,1
424,5203,3
424,1869,4
487,5161,1
487,37619,1
487,15676,1
487,19178,5
487,43352,3
487,6613,1
496,14785,4
499,43340,5
503,6858,1
503,28881,1
503,10890,5
503,13463,5
503,29209,1
507,37435,5
507,43348,1
508,26064,3
508,34301,4
595,5168,5
618,3476,1
626,10040,5
638,32581,5
651,44533,1
695,32446,4
709,3304,3
709,26482,5
714,32703,1
726,18892,5
728,32682,1
735,15460,1
735,32507,5
741,23226,1
741,19448,1
741,2187,1
741,32433,1
743,3985,1
758,6184,5
776,11297,4
777,37678,1
791,5176,1
805,12829,1
805,9462,1
828,17349,5
843,5207,4
853,7347,5
882,23316,1
882,27252,1
882,40530,1
882,5942,1
882,9282,5
882,3471,1
882,39034,5
882,5907,5
882,2249,1
900,619,3
901,933,5
901,5297,1
915,28881,1
929,15578,3
929,29209,1
1007,3471,1
1021,5220,5
1022,5197,5
1025,15104,5
1048,30053,4
1054,7061,4
1069,5186,1
1075,37435,5
1075,9789,5
1075,7061,3
1083,19474,5
1098,28942,4
1113,5203,1
1116,43061,4
1129,7061,1
1131,2052,4
1131,5168,4
1131,2122,1
1131,27397,4
1131,14748,4
1133,39031,4
1133,2723,1
1161,4953,3
1167,41379,5
1167,27000,1
1167,6644,1
1169,19894,1
1180,9534,5
1210,40189,5
1211,933,5
1211,15688,4
1211,27737,1
1211,40155,4
1249,24283,1
1254,31104,1
1270,20972,1
1279,37420,1
1297,40189,4
1309,7515,4
1331,412,1
1331,414,5
1331,413,1
1345,21618,1
1348,2122,1
1375,43702,3
1396,28,5
1399,32370,5
1412,27252,5
1412,1845,5
1412,1898,5
1424,18600,5
1424,5220,4
1424,411,1
1424,933,4
1424,4965,4
1424,10222,4
1424,5205,4
1424,9282,1
1424,13143,1
1424,28239,4
1424,12187,1
1424,4451,1
1424,12994,1
1424,10914,4
1424,9789,4
1424,25,1
1424,24,1
1424,22,1
1424,16442,1
1433,14748,2
1435,25737,4
1435,106,1
1435,39031,5
1435,5168,4
1435,18,5
1435,28562,1
1435,28568,1
1436,13146,1
1546,43331,1
1585,32234,4
1585,6438,4
1591,2896,5
1597,43486,3
1652,15054,4
1661,16059,1
1661,24761,1
1674,816,1
1674,4953,5
1674,830,5
1688,30280,3
1706,33363,4
1718,14748,4
1719,43335,2
1719,2287,4
1725,9532,5
1729,6858,1
1733,15676,4
1733,30385,4
1733,30397,4
1733,30391,4
1733,43340,4
1805,9713,4
1812,15316,1
1812,2249,4
1848,43061,3
1848,105,1
1848,106,1
1848,103,1
1848,117,1
1848,20253,1
1848,30488,5
1848,35228,5
1848,9539,4
1848,35231,1
1892,9789,5
1901,43933,1
1903,30293,5
1903,44559,1
1903,17349,5
1903,2932,5
1903,10541,1
1903,33293,1
1903,15881,1
1903,41231,1
1903,32533,1
1903,30458,1
1903,22076,1
1903,25401,1
1903,42878,1
2012,32432,1
2030,1424,5
2030,1425,5
2030,29949,5
2030,31219,5
2033,18835,1
2033,5187,1
2033,15881,5
2033,41451,4
2033,7958,1
2033,44574,5
2033,7971,4
2033,24441,4
2033,40304,5
2033,24813,5
2033,24814,5
2033,28759,1
2033,13986,5
2033,14014,5
2033,28760,5
2033,28734,1
2033,28735,5
2033,13995,4
2033,13994,4
2033,13990,5
2033,13998,4
2033,14002,5
